URI,Label,Comment,SubClassOf,Vocabulary
http://mlcommons.org/croissant/geo/BandConfiguration,BandConfiguration,"Structured description of raster band organization and semantics (e.g., band count and ordered band names). Intended to be used as the value of geocr:bandConfiguration.",http://schema.org/StructuredValue,Geo
http://mlcommons.org/croissant/geo/MultiWavelengthConfiguration,MultiWavelengthConfiguration,"Structured description of multi-wavelength channel configuration for Space Weather / heliophysics datasets (e.g., a list of wavelength channels). Intended to be used as the value of geocr:multiWavelengthConfiguration.",http://schema.org/StructuredValue,Geo
http://mlcommons.org/croissant/geo/SolarInstrumentCharacteristics,SolarInstrumentCharacteristics,"Structured description of solar/heliophysics instrument and observatory characteristics for Space Weather datasets (e.g., observatory/platform and instrument identifiers). Intended to be used as the value of geocr:solarInstrumentCharacteristics.",http://schema.org/StructuredValue,Geo
http://mlcommons.org/croissant/geo/SpectralBand,SpectralBand,"Structured per-band spectral metadata entry (e.g., center wavelength and bandwidth). Intended to be used as items within geocr:spectralBandMetadata.",http://schema.org/StructuredValue,Geo
