URI,Label,Comment,Domain,Range,Vocabulary
http://mlcommons.org/croissant/RAI/annotationsPerItem,annotationsPerItem,"Number of human labels per dataset item, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/annotatorDemographics,annotatorDemographics,"List of demographics specifications about the annotators, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataAnnotationAnalysis,dataAnnotationAnalysis,"Considerations related to the process of converting the ""raw"" annotations into the labels that are ultimately packaged in a dataset - Uncertainty or disagreement between annotations on each instance as a signal in the dataset, analysis of systematic disagreements between annotators of different socio demographic group,  how the final dataset annotations will relate to individual annotator responses.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataAnnotationPlatform,dataAnnotationPlatform,"Platform, tool, or library used to collect annotations by human annotators, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataAnnotationProtocol,dataAnnotationProtocol,"Description of annotations (labels, ratings) produced, including how these were created or authored - Annotation Workforce Type, Annotation Characteristic(s), Annotation Description(s), Annotation Task(s), Annotation Distribution(s).",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataBiases,dataBiases,"Description of biases in dataset, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollection,dataCollection,Description of the data collection process.,https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollectionMissingData,dataCollectionMissingData,Description of missing data in structured/unstructured form.,https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollectionRawData,dataCollectionRawData,Description of the raw data i.e. source of the data.,https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataCollectionTimeframe,dataCollectionTimeframe,"Timeframe in terms of start and end date of the collection process, that it described as a DateTime indicating a time period in <a href=""https://en.wikipedia.org/wiki/ISO_8601#Time_intervals"">ISO 8601 time interval format</a>. For example, a collection time frame ranging from 2020 - 2022 can be indicated in ISO 8601 interval format via ""2020/2022"".",https://schema.org/Dataset,https://schema.org/DateTime,RAI
http://mlcommons.org/croissant/RAI/dataCollectionType,dataCollectionType,"Define the data collection type. Recommended values: Surveys, Secondary Data analysis, Physical data collection, Direct measurement, Document analysis, Manual Human Curator, Software Collection, Experiments, Web Scraping, Web API, Focus groups, Self-reporting, Customer feedback data, User-generated content data, Passive Data Collection, Others.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataImputationProtocol,dataImputationProtocol,"Description of data imputation process, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataLimitations,dataLimitations,"Known limitations - Data generalization limits (e.g related to data distribution, data quality issues, or data sources) and on-recommended uses, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataManipulationProtocol,dataManipulationProtocol,"Description of data manipulation process, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataPreprocessingProtocol,dataPreprocessingProtocol,"Description of the steps that were required to bring collected data to a state that can be processed by an ML model/algorithm, e.g. filtering out incomplete entries etc, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataReleaseMaintenancePlan,dataReleaseMaintenancePlan,"Versioning information in terms of the updating timeframe, the maintainers, and the deprecation policies.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataSocialImpact,dataSocialImpact,"Discussion of social impact, if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/dataUseCases,dataUseCases,"Dataset Use(s) - Training, Testing, Validation, Development or Production Use, Fine Tuning, Others (please specify), Usage Guidelines. Recommended uses.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/machineAnnotationTools,machineAnnotationTools,"List of software used for data annotation (e.g., concept extraction, NER, and additional characteristics of the tools used for annotation to allow for replication or extension).",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/RAI/personalSensitiveInformation,personalSensitiveInformation,"Sensitive Human Attribute(s)- Gender, Socio-economic status, Geography, Language, Age, Culture, Experience or Seniority, Others (please specify), if applicable.",https://schema.org/Dataset,https://schema.org/Text,RAI
http://mlcommons.org/croissant/annotation,annotation,One or more data-level annotations that apply to the entire record or field.,"http://mlcommons.org/croissant/Field, http://mlcommons.org/croissant/RecordSet",http://mlcommons.org/croissant/Field,Core
http://mlcommons.org/croissant/arrayShape,arrayShape,"Shape of the data tensor/array associated with a field (e.g., [height, width, bands] for imagery).",http://mlcommons.org/croissant/Field,https://schema.org/Text,Core
http://mlcommons.org/croissant/citeAs,citeAs,"How to cite this dataset. Ideally, citations should be expressed using the bibtex format. Note that this is different from schema.org/citation, which is used to make a citation to another publication from this dataset.",https://schema.org/Dataset,https://schema.org/Text,Core
http://mlcommons.org/croissant/column,column,"In case the data source is tabular, the id of a column to extract.",http://mlcommons.org/croissant/Extract,https://schema.org/Text,Core
http://mlcommons.org/croissant/containedIn,containedIn,"Another FileObject, FileSet or DataSource that this one is contained in, e.g., in the case of a file extracted from an archive. When this property is present, the contentUrl is evaluated as a relative path within the container object.","http://mlcommons.org/croissant/FileObject, http://mlcommons.org/croissant/FileSet","http://mlcommons.org/croissant/DataSource, http://mlcommons.org/croissant/FileObject, http://mlcommons.org/croissant/FileSet",Core
http://mlcommons.org/croissant/content,content,"What to extract from the data source content, e.g., lines.",http://mlcommons.org/croissant/Extract,http://mlcommons.org/croissant/ContentExtractionEnumeration,Core
http://mlcommons.org/croissant/data,data,"One or more inlined records that constitute the data of the RecordSet, typically used for small enumeration values.",http://mlcommons.org/croissant/RecordSet,http://www.w3.org/1999/02/22-rdf-syntax-ns#JSON,Core
http://mlcommons.org/croissant/dataType,dataType,"The data type of the field, identified by the URI of the corresponding class. It could be either an atomic type (e.g, sc:Integer) or a semantic type (e.g., sc:GeoLocation).","http://mlcommons.org/croissant/Field, http://mlcommons.org/croissant/RecordSet",http://mlcommons.org/croissant/DataType,Core
http://mlcommons.org/croissant/equivalentProperty,equivalentProperty,A property that is equivalent to this Field. Used in the case a dataType is specified on the RecordSet to map specific fields to specific properties associated with that dataType.,http://mlcommons.org/croissant/Field,https://schema.org/URL,Core
http://mlcommons.org/croissant/examples,examples,One more inlined records provided as example content of the RecordSet.,http://mlcommons.org/croissant/RecordSet,http://www.w3.org/1999/02/22-rdf-syntax-ns#JSON,Core
http://mlcommons.org/croissant/excludes,excludes,"A glob pattern that specifies the files to exclude. The pattern is evaluated from the root of the containedIn contents, after the includes patterns have been evaluated.",http://mlcommons.org/croissant/FileSet,https://schema.org/Text,Core
http://mlcommons.org/croissant/extract,extract,The extraction method from the provided source.,http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/Extract,Core
http://mlcommons.org/croissant/field,field,"A data element that appears in the records of the RecordSet (e.g., one column of a table).",http://mlcommons.org/croissant/RecordSet,http://mlcommons.org/croissant/Field,Core
http://mlcommons.org/croissant/fileObject,fileObject,The id of a FileObject that is the source of the data.,http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/FileObject,Core
http://mlcommons.org/croissant/fileProperty,fileProperty,"The file property to extract from the data source metadata, e.g., the filename.",http://mlcommons.org/croissant/Extract,http://mlcommons.org/croissant/FilePropertyEnumeration,Core
http://mlcommons.org/croissant/fileSet,fileSet,The id of a FileSet that is the source of the data.,http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/FileSet,Core
http://mlcommons.org/croissant/format,format,"A format to parse the values of the data from text, e.g., a date format or number format.",http://mlcommons.org/croissant/DataSource,http://mlcommons.org/croissant/Format,Core
http://mlcommons.org/croissant/geo/bandConfiguration,bandConfiguration,"Configuration describing raster band organization and semantics for a dataset or asset (e.g., band ordering and names).","http://mlcommons.org/croissant/Field, https://schema.org/Dataset","http://mlcommons.org/croissant/geo/BandConfiguration, https://schema.org/Text",Geo
http://mlcommons.org/croissant/geo/bandNamesList,bandNamesList,Ordered list of band names corresponding to the band stack described by geocr:bandConfiguration.,http://mlcommons.org/croissant/geo/BandConfiguration,https://schema.org/Text,Geo
http://mlcommons.org/croissant/geo/bandwidth,bandwidth,"Spectral bandwidth for a geocr:SpectralBand entry (typically in geocr:spectralBandMetadata), expressed as a QuantitativeValue.",http://mlcommons.org/croissant/geo/SpectralBand,https://schema.org/QuantitativeValue,Geo
http://mlcommons.org/croissant/geo/centerWavelength,centerWavelength,"Center wavelength for a geocr:SpectralBand entry (typically in geocr:spectralBandMetadata), expressed as a QuantitativeValue.",http://mlcommons.org/croissant/geo/SpectralBand,https://schema.org/QuantitativeValue,Geo
